"Student","Class","Method","IssueType","Severity","Details"
"assignment-2-264","BurgerShop","addBurger","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 7 total cases, avg 7.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-264","BurgerShop","addSnack","Switch Complexity","HIGH","Method contains 1 switch(es) with 5 total cases, avg 5.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-264","BurgerShop","addDrink","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-264","BurgerShop","addCombo","Switch Complexity","HIGH","Method contains 3 switch(es) with 16 total cases, avg 5.3 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-262","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-139","MenuItem","""","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"assignment-2-135","BurgerShop","addSnack","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-135","BurgerShop","addDrink","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-135","BurgerShop","addCombo","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-131","BurgerShop","incrementCost","Switch Complexity","HIGH","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-96","Drink","""","Redundant Inheritance","HIGH","Class inherits but does not override/reuse superclass methods"
"assignment-2-126","Side","adjustPrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 3 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-126","BurgerShop","confirmOrder","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: MIXED_LOGIC"
"assignment-2-243","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 1 switch(es) with 4 total cases, avg 4.0 cases/switch, pattern: STATE_MACHINE"
"assignment-2-122","BurgerShop","confirmOrder","Switch Complexity","HIGH","Method contains 2 switch(es) with 6 total cases, avg 3.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-6","Extra","increasePrice","Switch Complexity","MEDIUM","Method contains 1 switch(es) with 2 total cases, avg 2.0 cases/switch, pattern: SIMPLE_DISPATCH"
"assignment-2-238","ArrayModify; MenuDisp; ModifyArray","getSizes; getCombo; removeNumber; getBurger","Missing Inheritance","HIGH","4 methods shared by classes without common superclass"
"assignment-2-238","ArrayModify; ModifyArray","""","Redundant Inheritance Group","HIGH","2 classes redundantly inherit from Increment"
